episode,mean,std
episode 0,1.95,0.8255779474818964
episode 1,4.05,1.669383750149485
episode 2,6.05,2.394621165511528
episode 3,8.1,3.127130852462214
episode 4,10.0,3.7836212117076693
episode 5,12.05,4.5707882540277325
episode 6,14.3,5.458937625582473
episode 7,16.45,6.2616207755534115
episode 8,18.3,6.913754406977442
episode 9,20.35,7.720614919605958
cumulative sinks,111.6,42.190545211731475
area,100.45,37.99927284622833
