episode,mean,std
episode 0,6.55,6.443887352408197
episode 1,14.6,9.075125053509847
episode 2,21.9,13.005666781101715
episode 3,28.8,15.483777588852554
episode 4,35.0,17.97366494566279
episode 5,40.8,21.09776740495743
episode 6,46.95,22.20117351094662
episode 7,51.3,23.30371553840153
episode 8,58.85,25.862541495985635
episode 9,64.8,27.753804860064257
cumulative sinks,369.55,171.27954220789874
area,333.875,156.61660150961345
