episode,mean,std
episode 0,2.75,1.6181535936466533
episode 1,5.6,3.0847673289381503
episode 2,8.45,4.570788254027733
episode 3,11.3,6.061960773631964
episode 4,14.3,7.602631123499285
episode 5,17.4,9.27021262459838
episode 6,20.25,10.900869110691177
episode 7,23.25,12.527338525254109
episode 8,26.3,14.1982207929096
episode 9,29.3,15.835004528608527
cumulative sinks,158.9,85.1091559178719
area,142.875,76.45567601386337
