App Name,random,SAC,TRPO
com.habitrpg.android.habitica,159.0,289.0,87.0
com.radioplayer.mobile,402.0,456.5,499.5
de.komoot.android,1948.0,986.0,2059.0
com.funnmedia.waterminder,125.0,129.0,174.0
com.pallo.passiontimerscoped,4739.5,2425.0,824.0
org.iggymedia.periodtracker,452.0,846.0,584.0
com.google.android.wearable.app,1281.0,738.0,343.0
au.com.auspost.android,4.0,42.0,270.0
com.calm.android,30.0,24.0,20.0
com.outdooractive.Outdooractive,697.0,287.0,903.0
